ranker,player,pos,age,team_id,g,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,height,weight,salary,re_rank,season,draft_team,exp,career_salary
197,Jrue Holiday,PG,19,PHI,73,51,1767,230,520,0.442,62,159,0.39,168,361,0.465,0.502,65,86,0.756,56,135,191,280,79,18,156,153,587,92,190,1514280,2,2009/2010,Philadelphia 76ers,0,"$126,352,385 "
198,Ryan Hollins,C,25,MIN,73,27,1223,169,303,0.558,0,1,0,169,302,0.56,0.558,109,158,0.69,79,128,207,51,19,38,95,199,447,108,213,2183333,,2009/2010,Charlotte Bobcats,5,"$13,414,962 "
199,Al Horford,C,23,ATL,81,81,2845,467,847,0.551,1,1,1,466,846,0.551,0.552,213,270,0.789,236,563,799,189,59,91,122,225,1148,108,206,4307640,47,2009/2010,Atlanta Hawks,2,"$188,728,232 "
200,Eddie House,SG,31,NYK,18,0,371,44,133,0.331,15,60,0.25,29,73,0.397,0.387,12,12,1,6,34,40,37,12,0,20,20,115,81,185,2862000,,2009/2010,Miami Heat,12,"$14,158,572 "
200,Eddie House,PG,31,BOS,50,0,846,129,322,0.401,64,167,0.383,65,155,0.419,0.5,36,40,0.9,7,62,69,48,28,7,27,61,358,81,185,2862000,,2009/2010,Miami Heat,12,"$14,158,572 "
200,Eddie House,PG-SG,31,TOT,68,0,1217,173,455,0.38,79,227,0.348,94,228,0.412,0.467,48,52,0.923,13,96,109,85,40,7,47,81,473,81,185,2862000,,2009/2010,Miami Heat,12,"$14,158,572 "
201,Dwight Howard,C,24,ORL,82,82,2843,510,834,0.612,0,7,0,510,827,0.617,0.612,483,816,0.592,284,798,1082,144,75,228,274,287,1503,120,208,15202590,1,2009/2010,Orlando Magic,5,"$243,626,437 "
202,Josh Howard,SF,29,WAS,4,3,91,20,46,0.435,3,11,0.273,17,35,0.486,0.467,15,20,0.75,4,9,13,4,3,2,3,13,58,95,201,10890000,,2009/2010,Dallas Mavericks,6,"$40,442,778 "
202,Josh Howard,SF,29,DAL,31,9,827,137,342,0.401,20,75,0.267,117,267,0.438,0.43,94,119,0.79,26,86,112,44,23,9,43,78,388,95,201,10890000,,2009/2010,Dallas Mavericks,6,"$40,442,778 "
202,Josh Howard,SF,29,TOT,35,12,918,157,388,0.405,23,86,0.267,134,302,0.444,0.434,109,139,0.784,30,95,125,48,26,11,46,91,446,95,201,10890000,,2009/2010,Dallas Mavericks,6,"$40,442,778 "
203,Juwan Howard,C,36,POR,73,27,1632,191,375,0.509,0,1,0,191,374,0.511,0.509,55,70,0.786,108,227,335,61,27,10,72,191,437,108,206,1306455,,2009/2010,Washington Bullets,21,"$151,465,633 "
204,Lester Hudson,PG,25,MEM,9,0,61,14,35,0.4,2,11,0.182,12,24,0.5,0.429,6,7,0.857,4,6,10,5,5,1,5,5,36,86,190,199185,,2009/2010,Boston Celtics,0,"$641,552 "
204,Lester Hudson,PG,25,BOS,16,0,70,7,18,0.389,3,5,0.6,4,13,0.308,0.472,5,6,0.833,3,5,8,8,3,2,9,7,22,86,190,199185,,2009/2010,Boston Celtics,0,"$641,552 "
204,Lester Hudson,PG,25,TOT,25,0,131,21,53,0.396,5,16,0.313,16,37,0.432,0.443,11,13,0.846,7,11,18,13,8,3,14,12,58,86,190,199185,,2009/2010,Boston Celtics,0,"$641,552 "
205,Larry Hughes,SG,31,CHA,14,2,295,35,107,0.327,15,42,0.357,20,65,0.308,0.397,29,34,0.853,7,25,32,28,12,4,19,17,114,83,196,13655268,,2009/2010,Philadelphia 76ers,17,"$84,845,538 "
205,Larry Hughes,SG,31,NYK,31,14,820,102,279,0.366,28,97,0.289,74,182,0.407,0.416,65,79,0.823,16,94,110,109,40,11,56,53,297,83,196,13655268,,2009/2010,Philadelphia 76ers,17,"$84,845,538 "
205,Larry Hughes,SG,31,TOT,45,16,1115,137,386,0.355,43,139,0.309,94,247,0.381,0.411,94,113,0.832,23,119,142,137,52,15,75,70,411,83,196,13655268,,2009/2010,Philadelphia 76ers,17,"$84,845,538 "
206,Kris Humphries,PF,24,NJN,44,0,906,127,293,0.433,0,1,0,127,292,0.435,0.433,102,146,0.699,82,201,283,25,29,37,53,102,356,106,206,3200000,10,2009/2010,Utah Jazz,5,"$62,188,258 "
206,Kris Humphries,PF,24,DAL,25,0,315,53,115,0.461,0,0,,53,115,0.461,0.461,25,44,0.568,38,57,95,7,7,11,13,43,131,106,206,3200000,10,2009/2010,Utah Jazz,5,"$62,188,258 "
206,Kris Humphries,PF,24,TOT,69,0,1221,180,408,0.441,0,1,0,180,407,0.442,0.441,127,190,0.668,120,258,378,32,36,48,66,145,487,106,206,3200000,10,2009/2010,Utah Jazz,5,"$62,188,258 "
207,Chris Hunter,C,25,GSW,60,9,783,109,217,0.502,0,4,0,109,213,0.512,0.502,52,69,0.754,56,111,167,37,13,35,30,132,270,108,211,632455,,2009/2010,,0,"$632,455 "
208,Lindsey Hunter,PG,39,CHI,13,0,122,5,30,0.167,1,13,0.077,4,17,0.235,0.183,2,2,1,1,13,14,9,1,0,4,12,13,77,188,1306455,,2009/2010,Detroit Pistons,16,"$34,640,600 "
209,Othello Hunter,SF,23,ATL,7,0,33,4,12,0.333,0,0,,4,12,0.333,0.333,3,4,0.75,6,6,12,0,0,1,3,5,11,102,203,307564,,2009/2010,,1,"$749,678 "
210,Steven Hunter,C,28,MEM,21,0,158,17,43,0.395,0,0,,17,43,0.395,0.395,19,36,0.528,18,24,42,0,1,10,9,10,53,99,213,3696000,36,2009/2010,Orlando Magic,7,"$22,365,366 "
211,Serge Ibaka,PF,20,OKC,73,0,1323,201,370,0.543,1,2,0.5,200,368,0.543,0.545,58,92,0.63,138,259,397,10,25,97,68,194,461,106,208,1120200,,2009/2010,Seattle SuperSonics,0,"$120,065,662 "
212,Andre Iguodala,SF,26,PHI,82,82,3193,496,1120,0.443,94,303,0.31,402,817,0.492,0.485,315,430,0.733,82,447,529,472,141,55,218,145,1401,97,198,12200000,27,2009/2010,Philadelphia 76ers,5,"$169,324,259 "
213,Zydrunas Ilgauskas,C,34,CLE,64,6,1339,194,438,0.443,11,23,0.478,183,415,0.441,0.455,75,101,0.743,114,231,345,48,14,50,63,183,474,107,221,11541074,,2009/2010,Cleveland Cavaliers,11,"$124,487,723 "
214,D.J. Mbenga,C,29,LAL,49,2,355,48,103,0.466,0,0,,48,103,0.466,0.466,9,19,0.474,32,55,87,8,5,29,15,54,105,111,213,959111,,2009/2010,,7,"$10,673,747 "
215,Ersan İlyasova,PF,22,MIL,81,31,1898,323,729,0.443,81,241,0.336,242,488,0.496,0.499,113,158,0.715,157,360,517,84,53,23,71,251,840,106,206,2100000,,2009/2010,Milwaukee Bucks,1,"$67,816,207 "
216,Allen Iverson,SG,34,PHI,25,24,798,121,290,0.417,8,24,0.333,113,266,0.425,0.431,98,119,0.824,15,60,75,102,18,2,57,43,348,74,183,1029794,,2009/2010,Philadelphia 76ers,17,"$154,494,445 "
216,Allen Iverson,PG,34,MEM,3,0,67,15,26,0.577,1,1,1,14,25,0.56,0.596,6,12,0.5,1,3,4,11,1,0,7,5,37,74,183,1029794,,2009/2010,Philadelphia 76ers,17,"$154,494,445 "
216,Allen Iverson,SG-PG,34,TOT,28,24,865,136,316,0.43,9,25,0.36,127,291,0.436,0.445,104,131,0.794,16,63,79,113,19,2,64,48,385,74,183,1029794,,2009/2010,Philadelphia 76ers,17,"$154,494,445 "
217,Royal Ivey,SG,28,MIL,18,0,90,9,28,0.321,2,11,0.182,7,17,0.412,0.357,3,5,0.6,1,7,8,10,9,0,6,14,23,90,190,1050000,,2009/2010,Atlanta Hawks,5,"$8,165,468 "
217,Royal Ivey,SG,28,PHI,26,0,236,26,55,0.473,12,24,0.5,14,31,0.452,0.582,6,7,0.857,5,21,26,17,10,2,5,25,70,90,190,1050000,,2009/2010,Atlanta Hawks,5,"$8,165,468 "
217,Royal Ivey,SG,28,TOT,44,0,326,35,83,0.422,14,35,0.4,21,48,0.438,0.506,9,12,0.75,6,28,34,27,19,2,11,39,93,90,190,1050000,,2009/2010,Atlanta Hawks,5,"$8,165,468 "
218,Jarrett Jack,PG,26,TOR,82,43,2243,323,671,0.481,82,199,0.412,241,472,0.511,0.542,203,241,0.842,30,192,222,413,60,6,163,151,931,90,190,4500000,46,2009/2010,Denver Nuggets,4,"$47,430,938 "
219,Cedric Jackson,PG,23,WAS,4,0,39,4,11,0.364,1,3,0.333,3,8,0.375,0.409,3,4,0.75,1,2,3,6,0,0,8,5,12,86,190,53834,,2009/2010,,0,"$53,834 "
219,Cedric Jackson,PG,23,SAS,3,0,25,2,7,0.286,0,2,0,2,5,0.4,0.286,3,4,0.75,1,3,4,6,3,2,2,2,7,86,190,53834,,2009/2010,,0,"$53,834 "
219,Cedric Jackson,PG,23,CLE,5,0,10,0,2,0,0,1,0,0,1,0,0,1,4,0.25,0,1,1,2,0,0,1,0,1,86,190,53834,,2009/2010,,0,"$53,834 "
219,Cedric Jackson,PG,23,TOT,12,0,74,6,20,0.3,1,6,0.167,5,14,0.357,0.325,7,12,0.583,2,6,8,14,3,2,11,7,20,86,190,53834,,2009/2010,,0,"$53,834 "
220,Darnell Jackson,PF,24,MIL,1,0,9,1,5,0.2,0,1,0,1,4,0.25,0.2,0,0,,1,1,2,0,0,0,0,2,2,114,206,736420,68,2009/2010,Miami Heat,1,"$2,040,809 "
220,Darnell Jackson,PF,24,CLE,27,0,114,8,25,0.32,1,3,0.333,7,22,0.318,0.34,4,6,0.667,8,12,20,4,2,4,13,19,21,114,206,736420,68,2009/2010,Miami Heat,1,"$2,040,809 "
220,Darnell Jackson,PF,24,TOT,28,0,123,9,30,0.3,1,4,0.25,8,26,0.308,0.317,4,6,0.667,9,13,22,4,2,4,13,21,23,114,206,736420,68,2009/2010,Miami Heat,1,"$2,040,809 "
221,Stephen Jackson,SG,31,CHA,72,72,2829,544,1285,0.423,118,353,0.334,426,932,0.457,0.469,312,397,0.786,72,294,366,258,118,37,233,181,1518,98,203,7650000,,2009/2010,Phoenix Suns,11,"$68,627,254 "
221,Stephen Jackson,PF,31,GSW,9,9,300,56,133,0.421,11,40,0.275,45,93,0.484,0.462,26,37,0.703,6,29,35,42,14,6,26,16,149,98,203,7650000,,2009/2010,Phoenix Suns,11,"$68,627,254 "
221,Stephen Jackson,SG-PF,31,TOT,81,81,3129,600,1418,0.423,129,393,0.328,471,1025,0.46,0.469,338,434,0.779,78,323,401,300,132,43,259,197,1667,98,203,7650000,,2009/2010,Phoenix Suns,11,"$68,627,254 "
222,LeBron James,SF,25,CLE,76,76,2966,768,1528,0.503,129,387,0.333,639,1141,0.56,0.545,593,773,0.767,71,483,554,651,125,77,261,119,2258,113,206,15779912,1,2009/2010,Cleveland Cavaliers,6,"$310,111,480 "
223,Mike James,PG,34,WAS,4,0,46,6,20,0.3,2,6,0.333,4,14,0.286,0.35,4,8,0.5,1,2,3,5,3,0,5,3,18,85,188,6466600,,2009/2010,,16,"$32,291,974 "
224,Antawn Jamison,PF,33,CLE,25,23,811,163,336,0.485,27,79,0.342,136,257,0.529,0.525,42,83,0.506,37,156,193,32,28,12,30,67,395,101,203,11641095,,2009/2010,Toronto Raptors,11,"$142,545,596 "
224,Antawn Jamison,PF,33,WAS,41,41,1595,315,700,0.45,58,168,0.345,257,532,0.483,0.491,152,217,0.7,99,263,362,52,43,9,61,112,840,101,203,11641095,,2009/2010,Toronto Raptors,11,"$142,545,596 "
224,Antawn Jamison,PF,33,TOT,66,64,2406,478,1036,0.461,85,247,0.344,393,789,0.498,0.502,194,300,0.647,136,419,555,84,71,21,91,179,1235,101,203,11641095,,2009/2010,Toronto Raptors,11,"$142,545,596 "
225,Nathan Jawai,C,23,MIN,39,2,412,49,111,0.441,0,1,0,49,110,0.445,0.441,26,38,0.684,49,55,104,24,10,9,27,58,124,127,208,736420,,2009/2010,Indiana Pacers,1,"$1,178,534 "
226,Othyus Jeffers,SG,24,UTA,14,0,73,12,29,0.414,0,0,,12,29,0.414,0.414,13,19,0.684,8,11,19,1,4,0,6,10,37,90,196,,,2009/2010,,0,
227,Al Jefferson,C,25,MIN,76,76,2463,560,1125,0.498,0,4,0,560,1121,0.5,0.498,181,266,0.68,180,523,703,137,63,98,136,205,1301,131,208,12000000,3,2009/2010,Boston Celtics,5,"$137,019,285 "
228,Richard Jefferson,SF,29,SAS,81,70,2520,362,775,0.467,59,187,0.316,303,588,0.515,0.505,211,287,0.735,58,298,356,158,45,40,105,178,994,105,201,14200000,33,2009/2010,Houston Rockets,8,"$116,009,560 "
229,Jared Jeffries,SF,28,HOU,18,0,332,36,84,0.429,1,9,0.111,35,75,0.467,0.435,15,27,0.556,31,34,65,18,9,13,14,46,88,104,211,6466600,9,2009/2010,Washington Wizards,7,"$40,528,625 "
229,Jared Jeffries,PF,28,NYK,52,37,1462,102,230,0.443,20,62,0.323,82,168,0.488,0.487,60,93,0.645,99,124,223,83,53,58,62,157,284,104,211,6466600,9,2009/2010,Washington Wizards,7,"$40,528,625 "
229,Jared Jeffries,PF-SF,28,TOT,70,37,1794,138,314,0.439,21,71,0.296,117,243,0.481,0.473,75,120,0.625,130,158,288,101,62,71,76,203,372,104,211,6466600,9,2009/2010,Washington Wizards,7,"$40,528,625 "
230,Brandon Jennings,PG,20,MIL,82,82,2671,451,1216,0.371,145,388,0.374,306,828,0.37,0.431,223,273,0.817,49,233,282,470,105,18,200,191,1270,77,185,2168520,1,2009/2010,Milwaukee Bucks,0,"$40,507,340 "
231,Jonas Jerebko,PF,22,DET,80,73,2232,290,603,0.481,36,115,0.313,254,488,0.52,0.511,125,176,0.71,194,284,478,58,79,29,82,230,741,104,208,457588,,2009/2010,Detroit Pistons,0,"$35,385,264 "
232,Yi Jianlian,PF,22,NJN,52,51,1655,227,563,0.403,15,41,0.366,212,522,0.406,0.417,154,193,0.798,115,257,372,47,37,52,77,170,623,108,213,3194400,,2009/2010,Milwaukee Bucks,2,"$14,085,936 "
233,Amir Johnson,PF,22,TOR,82,5,1453,208,334,0.623,0,4,0,208,330,0.63,0.623,95,149,0.638,154,241,395,48,44,66,63,255,511,108,206,3666666,14,2009/2010,Detroit Pistons,4,"$79,456,857 "
234,Anthony Johnson,PG,35,ORL,31,0,406,49,111,0.441,13,39,0.333,36,72,0.5,0.5,19,20,0.95,8,40,48,63,11,1,26,32,130,86,190,2160000,,2009/2010,Sacramento Kings,20,"$19,245,614 "
235,James Johnson,PF,22,CHI,65,11,757,95,210,0.452,15,46,0.326,80,164,0.488,0.488,51,70,0.729,34,94,128,48,21,43,62,126,256,108,201,1594080,46,2009/2010,Chicago Bulls,0,"$60,907,906 "
236,Joe Johnson,SG,28,ATL,76,76,2886,635,1386,0.458,129,350,0.369,506,1036,0.488,0.505,220,269,0.818,74,279,353,369,82,5,145,145,1619,108,201,14976754,25,2009/2010,Boston Celtics,10,"$220,260,806 "
237,Dahntay Jones,SF,29,IND,76,26,1892,287,623,0.461,4,32,0.125,283,591,0.479,0.464,198,257,0.77,48,181,229,150,40,39,129,237,776,102,198,2500000,91,2009/2010,Boston Celtics,6,"$18,017,231 "
238,Dwayne Jones,PF,26,PHO,2,0,7,0,0,,0,0,,0,0,,,0,0,,0,2,2,0,0,0,0,1,0,113,211,,,2009/2010,,4,"$1,880,393 "
239,James Jones,SF,29,MIA,36,6,503,43,119,0.361,37,90,0.411,6,29,0.207,0.517,23,28,0.821,4,41,45,17,11,4,11,45,146,98,203,4320000,,2009/2010,Indiana Pacers,6,"$25,835,635 "
240,Solomon Jones,C,25,IND,52,2,675,78,176,0.443,0,3,0,78,173,0.451,0.443,51,71,0.718,51,93,144,32,14,37,40,125,207,104,208,1620000,,2009/2010,Atlanta Hawks,3,"$5,761,934 "
241,DeAndre Jordan,C,21,LAC,70,12,1137,144,238,0.605,0,2,0,144,236,0.61,0.605,48,128,0.375,122,230,352,21,16,62,75,152,336,120,211,736420,13,2009/2010,Los Angeles Clippers,1,"$141,266,687 "
242,Chris Kaman,C,27,LAC,76,76,2608,589,1202,0.49,0,6,0,589,1196,0.492,0.49,230,307,0.749,184,520,704,120,37,94,223,213,1408,120,213,10400000,,2009/2010,Los Angeles Clippers,6,"$86,527,368 "
243,Jason Kapono,SF,28,PHI,57,12,976,126,301,0.419,63,171,0.368,63,130,0.485,0.523,9,15,0.6,14,52,66,39,21,6,34,80,324,96,203,6212960,10,2009/2010,Cleveland Cavaliers,6,"$28,493,023 "
244,Coby Karl,SF,26,GSW,4,1,108,11,32,0.344,2,11,0.182,9,21,0.429,0.375,4,6,0.667,4,12,16,15,3,1,6,14,28,97,196,311896,,2009/2010,,1,"$782,378 "
244,Coby Karl,SG,26,CLE,3,0,5,0,0,,0,0,,0,0,,,0,0,,0,2,2,0,0,0,4,0,0,97,196,311896,,2009/2010,,1,"$782,378 "
244,Coby Karl,SF-SG,26,TOT,7,1,113,11,32,0.344,2,11,0.182,9,21,0.429,0.375,4,6,0.667,4,14,18,15,3,1,10,14,28,97,196,311896,,2009/2010,,1,"$782,378 "
245,Jason Kidd,PG,36,DAL,80,80,2881,284,671,0.423,176,414,0.425,108,257,0.42,0.554,80,99,0.808,48,397,445,724,145,35,195,142,824,92,193,8000000,,2009/2010,Dallas Mavericks,19,"$187,675,468 "
246,Andrei Kirilenko,SF,28,UTA,58,35,1681,244,482,0.506,26,89,0.292,218,393,0.555,0.533,174,234,0.744,76,188,264,158,83,71,79,102,688,99,206,16452000,,2009/2010,Utah Jazz,8,"$107,735,998 "
247,Kyle Korver,SG,28,UTA,52,0,952,138,280,0.493,59,110,0.536,79,170,0.465,0.598,39,49,0.796,10,101,111,89,26,12,42,76,374,96,201,5155115,,2009/2010,New Jersey Nets,8,"$82,712,208 "
248,Kosta Koufos,C,20,UTA,36,0,172,22,47,0.468,0,0,,22,47,0.468,0.468,9,15,0.6,16,29,45,6,2,4,15,26,53,111,213,1214040,12,2009/2010,Utah Jazz,1,"$47,578,792 "
249,Nenad Krstić,C,26,OKC,76,76,1741,281,560,0.502,1,5,0.2,280,555,0.505,0.503,76,106,0.717,134,249,383,52,32,45,58,177,639,108,213,5400000,,2009/2010,New Jersey Nets,5,"$20,641,424 "
250,Oliver Lafayette,SG,25,BOS,1,0,22,3,6,0.5,1,2,0.5,2,4,0.5,0.583,0,0,,1,3,4,2,0,0,1,0,7,86,188,,,2009/2010,,0,
251,Carl Landry,PF,26,SAC,28,28,1054,197,379,0.52,1,3,0.333,196,376,0.521,0.521,109,147,0.741,66,116,182,26,27,17,50,88,504,112,206,3000000,,2009/2010,Seattle SuperSonics,2,"$47,927,163 "
251,Carl Landry,PF,26,HOU,52,1,1415,302,552,0.547,0,0,,302,552,0.547,0.547,235,280,0.839,122,164,286,40,28,46,86,146,839,112,206,3000000,,2009/2010,Seattle SuperSonics,2,"$47,927,163 "
251,Carl Landry,PF,26,TOT,80,29,2469,499,931,0.536,1,3,0.333,498,928,0.537,0.537,344,427,0.806,188,280,468,66,55,63,136,234,1343,112,206,3000000,,2009/2010,Seattle SuperSonics,2,"$47,927,163 "
252,Marcus Landry,SF,24,BOS,1,0,3,0,2,0,0,2,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,104,201,457588,,2009/2010,,0,"$457,588 "
252,Marcus Landry,SF,24,NYK,17,0,108,16,41,0.39,9,26,0.346,7,15,0.467,0.5,3,5,0.6,5,14,19,0,1,2,6,14,44,104,201,457588,,2009/2010,,0,"$457,588 "
252,Marcus Landry,SF,24,TOT,18,0,111,16,43,0.372,9,28,0.321,7,15,0.467,0.477,3,5,0.6,5,14,19,0,1,2,6,14,44,104,201,457588,,2009/2010,,0,"$457,588 "
253,Acie Law,PG,25,CHI,12,1,135,21,45,0.467,4,12,0.333,17,33,0.515,0.511,20,27,0.741,3,11,14,16,4,0,12,8,66,88,190,2216160,,2009/2010,Atlanta Hawks,2,"$7,074,007 "
253,Acie Law,PG,25,CHA,9,0,33,5,16,0.313,0,1,0,5,15,0.333,0.313,6,7,0.857,0,1,1,3,1,1,3,3,16,88,190,2216160,,2009/2010,Atlanta Hawks,2,"$7,074,007 "
253,Acie Law,PG,25,GSW,5,0,66,9,14,0.643,1,3,0.333,8,11,0.727,0.679,12,15,0.8,0,2,2,7,6,0,2,5,31,88,190,2216160,,2009/2010,Atlanta Hawks,2,"$7,074,007 "
253,Acie Law,PG,25,TOT,26,1,234,35,75,0.467,5,16,0.313,30,59,0.508,0.5,38,49,0.776,3,14,17,26,11,1,17,16,113,88,190,2216160,,2009/2010,Atlanta Hawks,2,"$7,074,007 "
254,Ty Lawson,PG,22,DEN,65,8,1318,201,390,0.515,34,83,0.41,167,307,0.544,0.559,106,140,0.757,42,82,124,203,48,2,82,89,542,88,180,1438690,5,2009/2010,Minnesota Timberwolves,0,"$43,559,556 "
255,Courtney Lee,SG,24,NJN,71,66,2375,338,775,0.436,76,225,0.338,262,550,0.476,0.485,133,153,0.869,60,192,252,121,93,20,76,130,885,97,196,1264440,,2009/2010,Orlando Magic,1,"$75,428,153 "
256,David Lee,C,26,NYK,81,81,3019,686,1258,0.545,0,8,0,686,1250,0.549,0.545,268,330,0.812,228,721,949,295,85,40,189,257,1640,111,206,7000000,10,2009/2010,New York Knicks,4,"$94,757,596 "
257,Rashard Lewis,PF,30,ORL,72,72,2369,350,805,0.435,168,423,0.397,182,382,0.476,0.539,145,180,0.806,62,256,318,107,78,28,108,180,1013,97,208,18876000,2,2009/2010,Seattle SuperSonics,11,"$155,332,815 "
258,Shaun Livingston,PG,24,WAS,26,18,666,99,185,0.535,0,4,0,99,181,0.547,0.535,42,48,0.875,12,46,58,116,12,9,50,52,240,87,201,296695,2,2009/2010,Los Angeles Clippers,6,"$58,431,045 "
258,Shaun Livingston,PG,24,OKC,10,0,130,5,16,0.313,0,2,0,5,14,0.357,0.313,0,0,,4,16,20,14,5,2,8,9,10,87,201,296695,2,2009/2010,Los Angeles Clippers,6,"$58,431,045 "
258,Shaun Livingston,PG,24,TOT,36,18,796,104,201,0.517,0,6,0,104,195,0.533,0.517,42,48,0.875,16,62,78,130,17,11,58,61,250,87,201,296695,2,2009/2010,Los Angeles Clippers,6,"$58,431,045 "
259,Brook Lopez,C,21,NJN,82,82,3027,563,1129,0.499,0,2,0,563,1127,0.5,0.499,416,509,0.817,270,439,709,187,55,139,204,251,1542,127,213,2225880,9,2009/2010,New Jersey Nets,1,"$133,179,511 "
260,Robin Lopez,C,21,PHO,51,31,986,171,291,0.588,0,0,,171,291,0.588,0.588,88,125,0.704,104,144,248,7,10,53,41,117,430,127,213,1745520,19,2009/2010,Phoenix Suns,1,"$84,159,944 "
261,Kevin Love,PF,21,MIN,60,22,1714,291,646,0.45,35,106,0.33,256,540,0.474,0.478,225,276,0.815,227,431,658,136,43,23,117,136,842,113,203,3401040,2,2009/2010,Memphis Grizzlies,1,"$175,264,299 "
262,Kyle Lowry,PG,23,HOU,68,0,1651,184,464,0.397,37,136,0.272,147,328,0.448,0.436,215,260,0.827,91,156,247,305,60,9,116,173,620,88,183,2034997,29,2009/2010,Memphis Grizzlies,5,"$157,957,917 "
263,Corey Maggette,PF,30,GSW,70,49,2081,457,886,0.516,13,50,0.26,444,836,0.531,0.523,460,551,0.835,92,281,373,172,51,4,168,231,1387,98,198,8937931,16,2009/2010,Seattle SuperSonics,10,"$89,131,524 "
264,Jamaal Magloire,C,31,MIA,36,0,359,28,56,0.5,0,0,,28,56,0.5,0.5,21,59,0.356,41,80,121,1,9,11,17,59,77,117,211,1229225,,2009/2010,Charlotte Hornets,11,"$39,323,630 "
265,Ian Mahinmi,C,23,SAS,26,0,165,35,55,0.636,0,0,,35,55,0.636,0.636,31,47,0.66,13,39,52,2,3,8,15,32,101,118,211,1079640,,2009/2010,San Antonio Spurs,1,"$83,789,796 "
266,Shawn Marion,SF,31,DAL,75,75,2385,395,778,0.508,3,19,0.158,392,759,0.516,0.51,105,139,0.755,158,319,477,107,69,61,99,141,898,99,201,6635068,,2009/2010,Phoenix Suns,14,"$134,936,762 "
267,Sean Marks,C,34,NOH,14,0,75,4,8,0.5,0,0,,4,8,0.5,0.5,2,5,0.4,14,9,23,2,0,3,2,17,10,113,208,1187686,,2009/2010,New York Knicks,9,"$9,588,092 "
268,Cartier Martin,SF,25,WAS,8,0,114,18,48,0.375,7,18,0.389,11,30,0.367,0.448,8,9,0.889,8,13,21,7,3,1,6,12,51,99,201,86638,54,2009/2010,,1,"$4,473,780 "
268,Cartier Martin,SF,25,GSW,10,2,276,32,88,0.364,10,31,0.323,22,57,0.386,0.42,16,21,0.762,17,30,47,9,8,0,13,36,90,99,201,86638,54,2009/2010,,1,"$4,473,780 "
268,Cartier Martin,SF,25,TOT,18,2,390,50,136,0.368,17,49,0.347,33,87,0.379,0.43,24,30,0.8,25,43,68,16,11,1,19,48,141,99,201,86638,54,2009/2010,,1,"$4,473,780 "
269,Kenyon Martin,PF,32,DEN,58,58,1986,283,620,0.456,8,29,0.276,275,591,0.465,0.463,93,167,0.557,142,404,546,109,72,61,91,186,667,106,206,15363636,,2009/2010,New Jersey Nets,9,"$113,035,975 "
270,Kevin Martin,SG,26,HOU,24,22,859,154,354,0.435,31,100,0.31,123,254,0.484,0.479,171,185,0.924,9,61,70,54,23,2,57,45,510,90,201,10180170,,2009/2010,Sacramento Kings,5,"$83,396,355 "
270,Kevin Martin,SG,26,SAC,22,21,774,135,339,0.398,39,110,0.355,96,229,0.419,0.456,127,155,0.819,20,74,94,57,23,4,35,51,436,90,201,10180170,,2009/2010,Sacramento Kings,5,"$83,396,355 "
270,Kevin Martin,SG,26,TOT,46,43,1633,289,693,0.417,70,210,0.333,219,483,0.453,0.468,298,340,0.876,29,135,164,111,46,6,92,96,946,90,201,10180170,,2009/2010,Sacramento Kings,5,"$83,396,355 "
271,Desmond Mason,SF,32,SAC,5,4,66,5,12,0.417,0,0,,5,12,0.417,0.417,3,4,0.75,4,9,13,2,1,1,4,5,13,101,201,76850,,2009/2010,Seattle SuperSonics,11,"$37,641,002 "
272,Roger Mason,SG,29,SAS,79,5,1515,193,496,0.389,88,264,0.333,105,232,0.453,0.478,27,34,0.794,11,151,162,137,30,14,59,99,501,90,196,3780000,37,2009/2010,Chicago Bulls,7,"$13,708,897 "
273,Wesley Matthews,SG,23,UTA,82,48,2025,273,565,0.483,63,165,0.382,210,400,0.525,0.539,160,193,0.829,50,141,191,124,64,15,93,152,769,99,193,457588,61,2009/2010,,0,"$106,293,346 "
274,Jason Maxiell,C,26,DET,76,29,1550,212,415,0.511,0,1,0,212,414,0.512,0.511,89,155,0.574,161,240,401,39,36,38,68,175,513,117,201,5000000,32,2009/2010,Detroit Pistons,4,"$28,614,821 "
275,Sean May,C,25,SAC,37,4,331,51,111,0.459,0,4,0,51,107,0.477,0.459,21,32,0.656,20,50,70,17,12,7,19,46,123,120,206,884881,9,2009/2010,Charlotte Bobcats,3,"$8,768,068 "
276,Eric Maynor,PG,22,OKC,55,0,906,102,235,0.434,17,47,0.362,85,188,0.452,0.47,27,39,0.692,11,80,91,185,27,8,57,82,248,79,190,1318920,,2009/2010,Utah Jazz,0,"$10,714,841 "
276,Eric Maynor,PG,22,UTA,26,2,363,52,133,0.391,5,24,0.208,47,109,0.431,0.41,25,33,0.758,10,28,38,81,13,2,28,33,134,79,190,1318920,,2009/2010,Utah Jazz,0,"$10,714,841 "
276,Eric Maynor,PG,22,TOT,81,2,1269,154,368,0.418,22,71,0.31,132,297,0.444,0.448,52,72,0.722,21,108,129,266,40,10,85,115,382,79,190,1318920,,2009/2010,Utah Jazz,0,"$10,714,841 "
